"Fit parameters produced by simultaneous optimization of 4 psuedo-Voigt peaks over the Hap quadruplet. Io is the total integrated intensity, mu is the mean position (peak center), fg is the Gaussian component of the peak width, fl is the Lorentzian component of the peak width. See methods section ref  6 and Supplemental Text 1.4.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
reflection,'121','121','121','121','112','112','112','112','030','030','030','030','022','022','022','022'
variable,Io,mu,fg,fl,Io,mu,fg,fl,Io,mu,fg,fl,Io,mu,fg,fl
units,[2theta*a.u.],[2theta],[2theta],[2theta],[2theta*a.u.],[2theta],[2theta],[2theta],[2theta*a.u.],[2theta],[2theta],[2theta],[2theta*a.u.],[2theta],[2theta],[2theta]
pattern_ID,,,,,,,,,,,,,,,,
54,467.4975996,14.86723089,0.082249509,0.058496946,162.3339344,15.08667991,0.15,0.15,541.6499922,15.36727499,0.091776043,0.044520702,17.56330916,15.92253032,0.027011883,0.029920907
55,2687.408384,14.86861723,0.091020546,0.057874384,311.0217186,15.06744985,0.112199302,0.023371832,2547.798375,15.37093002,0.085365071,0.067667452,350.5332186,15.93622329,0.075738332,0.096742811
56,5266.353322,14.85610308,0.086015526,0.046615271,944.6318107,15.06886174,0.061474634,0.064288934,7291.07622,15.36123583,0.082827458,0.051214977,552.8566807,15.91973603,0.068651403,0.044545509
57,4902.918442,14.84737478,0.084658824,0.039469166,434.0553578,15.0651776,0.023371824,0.137382453,11636.45376,15.36496593,0.088500602,0.054128485,70.1699046,15.91553991,0.05742191,0.023371815
58,3942.388848,14.84803104,0.088771901,0.039472833,227.1472029,15.155,0.15,0.15,13230.62682,15.36477303,0.089125391,0.05734101,0.000103667,15.89980258,0.11199787,0.149061758
59,4611.475921,14.84754903,0.089839245,0.042786918,188.6000213,15.155,0.149999998,0.149999984,12883.33569,15.36496956,0.087737849,0.057666765,0.000100014,15.96750067,0.055028736,0.15
60,5077.27484,14.84850702,0.093428642,0.040111398,174.3787254,15.155,0.15,0.15,12145.9037,15.36431294,0.085381243,0.059240665,0.0001,16.005,0.023372224,0.15
61,5611.768099,14.84674456,0.092388111,0.045295806,50.16023117,15.155,0.15,0.149999999,12879.22059,15.36460734,0.084498845,0.059521735,0.000100002,16.005,0.14992208,0.15
62,7083.641088,14.8473595,0.089579073,0.049499743,190.688017,15.15499999,0.15,0.15,11997.85508,15.36405514,0.088206849,0.055208675,0.000138051,15.97153742,0.030117377,0.023372216
63,7275.783942,14.8476067,0.091257037,0.045206236,242.5111394,15.04956684,0.15,0.15,9925.727194,15.36193929,0.083816263,0.058701139,15.68337626,15.91252495,0.032622536,0.023371817
64,7128.78639,14.84799264,0.091870237,0.040117534,319.6174411,15.01027394,0.15,0.15,7858.248714,15.36124976,0.083956245,0.055178843,28.78761888,15.91501367,0.036285292,0.023371818
65,8870.853776,14.84733134,0.089785583,0.039244683,308.1296964,15.03999707,0.144470238,0.023371945,6091.239435,15.35911918,0.089572657,0.043891214,92.37098023,15.91396661,0.067260068,0.023371815
66,8514.181127,14.84787114,0.087967011,0.040550538,827.3556334,15.05955031,0.03032117,0.111934069,5721.862136,15.36074375,0.089351511,0.046176769,440.9662742,15.91637053,0.072745071,0.043244134
67,7459.506059,14.85063539,0.08333444,0.040683847,1488.407331,15.06428384,0.057709309,0.073005948,5649.850984,15.36132278,0.083902762,0.044067479,742.0065718,15.9156126,0.082672619,0.02337182
68,6204.521109,14.85015105,0.081264949,0.038847911,778.0542497,15.05676688,0.061232563,0.063494937,8194.359942,15.35790558,0.077984111,0.050256576,620.8687407,15.91745373,0.085358535,0.023371816
69,6308.531771,14.8516396,0.087948723,0.041040842,1112.625521,15.07379984,0.039438062,0.078184966,9558.429989,15.35924557,0.085264314,0.04556504,165.8625928,15.9182919,0.061831698,0.023371819
70,5962.736033,14.85005456,0.089984055,0.039078389,781.9168305,15.06077661,0.041924819,0.085478649,9443.952853,15.35785286,0.08578785,0.049570084,140.0382284,15.90940755,0.066721335,0.02337182
71,6411.408142,14.84735698,0.086855392,0.045949525,703.1952091,15.0618582,0.043151683,0.079196345,10456.49461,15.3581365,0.083040835,0.052333725,79.71061112,15.92086305,0.045251885,0.023371819
72,6132.305123,14.84619814,0.089023195,0.043665035,549.1652522,15.05203565,0.023372048,0.118021469,10886.71983,15.35840115,0.082939504,0.055023038,85.2467824,15.91309741,0.067162259,0.023371815
73,7114.344462,14.84481631,0.090768863,0.04363537,486.3436476,15.05394302,0.15,0.139733257,9255.346184,15.36174906,0.085235283,0.055496849,36.00255682,15.92196764,0.054903639,0.023371815
74,8100.312653,14.84589432,0.089188214,0.048035068,299.4348958,15.04517684,0.023371862,0.141589072,7624.837586,15.36091599,0.08153159,0.057568217,76.08561688,15.93098877,0.07912582,0.023371815
75,8673.660772,14.84919776,0.079590839,0.053177476,332.0865148,15.06519418,0.070708441,0.088671382,5996.765449,15.36294685,0.082982446,0.055839955,159.5223533,15.9142211,0.084390226,0.02337183
76,7398.419118,14.85099495,0.083702488,0.050457778,517.6908013,15.06460325,0.107181895,0.023371833,5468.444874,15.36114617,0.079638132,0.056772354,569.5275639,15.91767314,0.095286599,0.02337182
77,3418.307234,14.85007977,0.082957769,0.038923881,293.462671,15.06977752,0.093785997,0.08765492,8882.748668,15.35910589,0.085188282,0.055615004,94.72844578,15.90861197,0.060910659,0.023371815
78,1758.249392,14.84714647,0.101599346,0.023371815,337.5045693,15.155,0.15,0.15,12514.5413,15.36137301,0.082364616,0.058387446,21.70661491,15.9223558,0.029958988,0.023371815
79,2387.93095,14.84574234,0.09702772,0.042309954,282.5551061,15.15499999,0.149999805,0.13973302,14407.59816,15.36161698,0.086786752,0.057919341,0.000104538,15.88777418,0.096615758,0.15
80,5038.730467,14.84602377,0.091437606,0.04822579,241.4751934,15.155,0.15,0.15,12592.9532,15.36146661,0.084360484,0.060184419,0.000273258,15.94681696,0.101308373,0.040662501
81,5980.513144,14.84266533,0.095414054,0.04315087,239.9879358,15.15499999,0.15,0.15,10784.45855,15.36342839,0.084728386,0.057279878,0.000100203,16.00499999,0.149999999,0.15
82,7487.800559,14.84387193,0.092327452,0.050002868,226.782737,15.155,0.15,0.15,9568.651158,15.36232064,0.088341369,0.055852414,0.000100973,16.00499991,0.149999588,0.15
83,7935.662415,14.8394939,0.096968651,0.044722629,218.0882503,15.00500001,0.15,0.15,7920.576635,15.36327062,0.083775383,0.061287741,0.000100727,15.90011148,0.111972121,0.149494953
84,8197.860915,14.84308925,0.089955564,0.04990452,227.186695,15.155,0.15,0.15,8176.960854,15.36215355,0.082214251,0.056710883,0.0001,16.005,0.15,0.15
85,7646.788379,14.8432795,0.087867067,0.052283495,193.1552155,15.04665727,0.15,0.15,7068.617389,15.36201178,0.082256465,0.061121755,31.58202503,16.005,0.145584194,0.023371841
86,7551.110115,14.84446361,0.08598532,0.051694429,295.1940889,15.05495286,0.141324701,0.149994175,6295.420503,15.362009,0.084458816,0.056205468,30.04859292,15.87966274,0.038677958,0.048981849
87,7826.131736,14.84491141,0.086799871,0.048467408,427.4650175,15.05282394,0.09116924,0.052710081,4682.301034,15.36027525,0.08201081,0.060799624,176.5832049,15.91520642,0.071756951,0.023371857
88,8098.885314,14.8494248,0.082848831,0.050789315,761.6289904,15.05510569,0.106808639,0.026291751,4316.659561,15.36097525,0.084616368,0.055875292,352.4227631,15.91521145,0.094096567,0.023371815
89,6857.269293,14.84938935,0.081292609,0.055132954,799.821279,15.06439217,0.072842509,0.070188364,5021.264809,15.35693226,0.081167748,0.060290617,603.1504667,15.90795208,0.092360685,0.023371816
90,5866.867296,14.84698246,0.083835483,0.05232246,894.5898959,15.07114063,0.023683176,0.113737279,7042.793992,15.36059527,0.085249847,0.05321077,326.4709264,15.90916538,0.084644959,0.023371815
91,5736.135098,14.84393768,0.092932231,0.043315444,1066.788547,15.06155713,0.02970683,0.101404562,7299.676412,15.36018948,0.083981886,0.05614307,209.7409123,15.91684871,0.070615512,0.023371821
92,6478.487548,14.84463053,0.086752954,0.051466439,684.4206563,15.06314554,0.065534288,0.094716612,6891.292797,15.36068899,0.080601716,0.062313834,254.8353895,15.91920103,0.097068829,0.023371897
93,6691.108548,14.84572541,0.083047109,0.058065646,464.4371331,15.06202406,0.10034333,0.023371831,5338.50393,15.35996821,0.081481963,0.061491745,107.9656982,15.91208763,0.055898476,0.023371815
94,5523.425895,14.84551636,0.083568943,0.05677826,632.0854435,15.07270314,0.085110323,0.052646097,4821.995387,15.36010768,0.076923277,0.064705914,250.2706709,15.91854013,0.077103466,0.023371817
95,5686.963452,14.84937308,0.083209778,0.053552679,668.5742088,15.06611152,0.104033466,0.024614752,5099.989753,15.3583123,0.078353659,0.064573696,307.73846,15.92084902,0.088796078,0.023371815
96,5874.71936,14.84920206,0.074450692,0.053990899,956.970053,15.06871532,0.063064917,0.067917889,5534.905473,15.35978784,0.080796399,0.061319406,372.3337424,15.91815038,0.093313282,0.02337182
97,3798.993184,14.85121857,0.080372618,0.051682194,247.6289524,15.06111559,0.118035549,0.023371864,8545.899638,15.35653985,0.081112244,0.068128574,96.34802088,15.91073857,0.088240204,0.023371815
98,1130.839039,14.85253086,0.096586774,0.026349283,211.1639317,15.03874149,0.14999644,0.095963153,8577.414697,15.35337443,0.080735914,0.0693896,12.40250857,15.88029416,0.044819504,0.023648011
99,1196.233064,14.84721014,0.107939861,0.023371815,240.5366923,15.08784428,0.15,0.15,10225.21089,15.35844813,0.080553084,0.069826773,11.0037907,15.92337777,0.023371815,0.023371815
100,1753.839052,14.84628702,0.104670281,0.023371815,140.2021586,15.155,0.149999623,0.111646395,12635.58152,15.36020743,0.082167178,0.065792981,0.0001,16.005,0.023371815,0.15
101,2536.650958,14.8476755,0.100404106,0.04452587,258.4904134,15.15107564,0.15,0.15,8939.880428,15.36128062,0.083345277,0.063586171,0.000100007,15.8550002,0.023371815,0.023371815
102,4533.349277,14.84360669,0.087097781,0.059970672,123.8290258,15.15499986,0.149999999,0.149999997,7949.643663,15.36390088,0.078216035,0.067733393,0.000100003,16.005,0.15,0.15
103,5059.334075,14.84449022,0.092686779,0.052064833,217.3726769,15.04763824,0.15,0.15,5213.369809,15.36452959,0.082048032,0.0686074,0.00010041,16.005,0.15,0.15
104,5002.910546,14.84582082,0.0810197,0.060720238,100.5965034,15.03655455,0.023374579,0.069433497,4086.969449,15.36316927,0.094802797,0.053841179,10.80040818,16.005,0.120205447,0.023371815
105,88.1018744,14.88029583,0.083961208,0.023371815,10.8499459,15.005,0.03014113,0.023372055,137.3901469,15.35662662,0.025939049,0.110170775,12.70570675,15.85701653,0.023371817,0.023371832
106,539.3684754,14.86754306,0.089541446,0.041765489,145.0104203,15.0609076,0.02337297,0.143987645,635.0024581,15.36884531,0.099108268,0.047794367,40.29527876,15.91560771,0.092418996,0.023371822
107,4184.078662,14.87194626,0.090709188,0.065868791,265.2964133,15.07565395,0.104989508,0.023371819,3145.480608,15.37411372,0.089950138,0.066504399,303.6096168,15.92317761,0.113113681,0.023371827
108,5607.898984,14.85771186,0.088000415,0.045611798,889.5129126,15.06241806,0.08977382,0.039909157,5915.953341,15.36243092,0.086572279,0.049753993,656.7270469,15.91655352,0.097094223,0.023371815
109,5700.684719,14.85009433,0.094398553,0.030749104,563.0558583,15.04822316,0.023372693,0.123345898,9347.320203,15.36513947,0.086084739,0.054355875,109.3735099,15.92112676,0.073924189,0.023371815
110,4832.809026,14.85023354,0.086939661,0.045355616,196.2492779,15.155,0.15,0.15,11999.07998,15.36541382,0.086177313,0.059573641,32.41500497,15.92426424,0.035788242,0.023371832
111,4603.54493,14.84886351,0.088460664,0.042405294,203.5504841,15.155,0.15,0.15,12559.34018,15.36616371,0.091625182,0.053909391,0.0001,16.005,0.023371815,0.023371815
