Fit quality and calculated crystallographic parameters for each pattern in the diffraction map of sample 1.,,,,,
,,,,,
variable,R^2,CLAA,s121,a,c
units,[a.u],[a.u.],[\AA],[\AA],[\AA]
pattern_ID,,,,,
268,0.999721709,1.467589712,438.8107062,9.453758502,6.882537669
269,0.999701649,1.618652815,442.4057277,9.451819062,6.889276183
270,0.999795749,2.862715441,445.2815303,9.452303712,6.896174411
271,0.999717574,3.190034963,442.0567391,9.451184957,6.895907129
272,0.999685377,3.233920658,438.5035074,9.453017518,6.891780518
273,0.999824311,2.413503091,446.5904379,9.453050453,6.884585603
274,0.999712971,1.433379163,480.0631669,9.452813822,6.887028598
275,0.999716087,2.641655636,524.6629678,9.453103157,6.887948527
276,0.999625066,3.628693376,471.3193814,9.452041576,6.897501824
277,0.999760756,5.111110357,396.0717202,9.45284285,6.895390607
278,0.999743495,5.64837828,397.3424216,9.453133458,6.89495971
279,0.999770717,5.355474265,415.5782576,9.453956362,6.891756486
280,0.99969523,5.396433957,412.7279673,9.453337489,6.890037751
281,0.999713414,4.603711234,396.2826765,9.454175981,6.882228759
282,0.999745128,5.012619134,385.7295329,9.454350333,6.878552887
283,0.999839314,4.932974537,401.3137966,9.452560448,6.884761737
284,0.999716757,3.845947708,441.8186527,9.455006052,6.874141812
285,0.999840429,2.266880118,487.678543,9.45401386,6.883669693
286,0.999790254,3.973652068,489.933975,9.45170582,6.887784249
287,0.999639744,4.393385244,411.203411,9.451267112,6.901931459
288,0.999754229,5.421218569,403.6823111,9.452661886,6.894513863
289,0.999774097,4.983264655,412.4539752,9.452297483,6.894391122
290,0.99966481,5.201336035,383.2202098,9.45123269,6.901848049
291,0.999674923,5.435824606,390.959157,9.45065954,6.907969599
292,0.999760263,4.494516144,407.8955743,9.452557438,6.897913183
293,0.999642609,4.5446523,417.6997416,9.4536745,6.882498113
294,0.99958399,4.120123318,419.9781141,9.453227184,6.889446597
295,0.999611964,3.658278594,416.4588218,9.453050286,6.885891255
296,0.999570441,2.473548301,431.9159095,9.455182946,6.872794384
297,0.999722399,1.571073108,455.8040621,9.457756246,6.858573165
298,0.999670541,2.025577572,431.530004,9.457218521,6.856422684
299,0.999688009,2.224883106,430.4428476,9.45519064,6.865037766
300,0.999725647,3.628967923,397.3225884,9.454493263,6.871468634
301,0.999630495,3.868896972,416.6257731,9.454063823,6.875066036
302,0.999678222,2.868974685,452.7399521,9.455980926,6.873732773
303,0.999712118,1.823143048,451.3237,9.455436104,6.876804926
304,0.999702503,2.353528619,448.6176914,9.453745645,6.880450985
305,0.999657622,2.17678538,462.8228842,9.453482696,6.888484477
306,0.999688617,3.807588823,496.54554,9.453273543,6.892010391
307,0.999705998,4.132723838,411.5020546,9.454337377,6.894464766
308,0.999623392,4.411858985,420.5465801,9.453168354,6.904213646
309,0.999654844,5.70148287,396.1833436,9.452838271,6.895966754
310,0.999536753,5.487808036,370.1173139,9.453286514,6.902093332
311,0.999668879,5.038225962,374.6190204,9.45348129,6.898204622
312,0.99970023,5.130902867,380.5229409,9.455085733,6.887296582
313,0.970784524,1.297773904,440.0786666,9.447152812,6.831773333
314,0.995520801,2.787918074,318.2401867,9.446180876,6.875939695
315,0.999668137,3.186544705,346.230667,9.445914969,6.881087086
316,0.99975037,3.305263855,417.8036921,9.453262526,6.867661042
317,0.999681282,1.079932083,433.9659534,9.45291021,6.871925626
318,0.999746331,2.630199871,433.1991731,9.452605446,6.887473267
319,0.999696067,3.579852837,434.2546656,9.45272871,6.882517352
320,0.999654993,3.592904599,430.4727975,9.454084138,6.874758617
321,0.999597789,2.317125282,442.9040414,9.452844161,6.876554057
322,0.999607304,1.653532907,457.881383,9.452059913,6.889819203
323,0.999687343,2.461416244,459.6635224,9.453356472,6.886420289
324,0.999648795,2.846412301,428.142585,9.452963635,6.883114871
325,0.999701466,3.753951331,421.0819712,9.452941055,6.882086168
326,0.999730788,1.874488019,457.1091722,9.452342513,6.878243604
327,0.999775151,2.317117232,484.3747986,9.453440055,6.883266036
328,0.999637431,4.665205692,445.0151386,9.451976758,6.890059795
329,0.999643276,5.202058971,408.6045208,9.452171008,6.894887042
330,0.999699411,5.881675175,392.3557746,9.452538777,6.893087642
331,0.999677871,5.638757521,405.532021,9.454536287,6.883786324
332,0.999731553,5.198949606,408.6443615,9.45466273,6.885133155
333,0.999765094,4.892816926,398.4577749,9.454231803,6.882476063
334,0.99971148,4.998979225,397.6648371,9.453547786,6.878281971
335,0.99966671,5.227686272,402.8020398,9.454375194,6.873355483
336,0.99970416,4.736275249,412.1616087,9.453742782,6.871907522
337,0.999717301,2.892657179,435.7594781,9.455335672,6.864706931
338,0.999772186,2.791376356,455.1772732,9.454292726,6.873698255
339,0.999684525,3.857980473,458.9914453,9.451905305,6.89209139
340,0.999675469,4.914830089,439.4089049,9.45155522,6.897089379
341,0.999718027,4.802895986,423.4777714,9.451248293,6.8995983
342,0.999749124,4.527464203,395.6589217,9.450400845,6.899370115
343,0.999695077,5.707953677,424.0367953,9.450438676,6.906372236
344,0.999730692,3.358843314,426.132948,9.452845442,6.894454574
345,0.999724301,4.504034572,420.3269876,9.452924683,6.887672323
346,0.999590545,3.623226265,428.8707236,9.45228316,6.896733616
347,0.999618484,2.319829401,463.3126863,9.453794365,6.888454209
348,0.999757436,1.616964421,475.7066769,9.457171539,6.868396734
349,0.999602543,3.682692817,414.0884525,9.455019621,6.880618125
